Datum & Uhrzeit	Temperatur Sensor 1 [ °C]	Temperatur Sensor 2 [ °C]	Temperatur Sensor 3 [ °C]	Temperatur Sensor 4 [ °C]	Temperatur Sensor 5 [ °C]	Temperatur Sensor 6 [ °C]	Druck Sensor 7 [ Bar]	Temperatur Sensor 8 [ °C]	Durchfluss Sensor 9 [ l/h]	Durchfluss V40 [ l/h]	Einheit	PWM 1 [ %]	PWM 2 [ %]	Drehzahl Relais 1 [ %]	Drehzahl Relais 2 [ %]	Drehzahl Relais 3 [ %]	Drehzahl Relais 4 [ %]	Betriebssekunden Relais 1 [ s]	Betriebssekunden Relais 2 [ s]	Betriebssekunden Relais 3 [ s]	Betriebssekunden Relais 4 [ s]	Fehlermaske	Statusmaske	Wärme [ Wh]	Version	Systemzeit	Systemdatum
08.07.2019 22:57	58,3	45,3	49,1	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18801134	66610277	10946444	8	0	0	26190451	1,06	22:57	20190708	
08.07.2019 22:58	58,6	45,4	49,1	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18801194	66610337	10946504	8	0	0	26190451	1,06	22:58	20190708	
08.07.2019 22:59	58,8	45,6	49,1	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18801254	66610397	10946564	8	0	0	26190451	1,06	22:59	20190708	
08.07.2019 23:00	59,0	45,8	49,1	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18801314	66610457	10946624	8	0	0	26190451	1,06	23:0	20190708	
08.07.2019 23:01	59,1	45,9	49,2	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	51	0	100	100	100	0	18801374	66610517	10946684	8	0	0	26190451	1,06	23:1	20190708	
08.07.2019 23:02	59,2	46,1	49,2	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	51	0	100	100	100	0	18801434	66610577	10946744	8	0	0	26190451	1,06	23:2	20190708	
08.07.2019 23:03	59,3	46,2	49,2	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	51	0	100	100	100	0	18801494	66610637	10946804	8	0	0	26190451	1,06	23:3	20190708	
08.07.2019 23:04	59,6	46,4	49,3	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	52	0	100	100	100	0	18801554	66610697	10946864	8	0	0	26190451	1,06	23:4	20190708	
08.07.2019 23:05	59,8	46,6	49,3	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	53	0	100	100	100	0	18801614	66610757	10946924	8	0	0	26190451	1,06	23:5	20190708	
08.07.2019 23:06	60,0	46,7	49,3	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	54	0	100	100	100	0	18801674	66610817	10946984	8	0	0	26190451	1,06	23:6	20190708	
08.07.2019 23:07	60,2	46,8	49,4	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	55	0	100	100	100	0	18801734	66610877	10947044	8	0	0	26190451	1,06	23:7	20190708	
08.07.2019 23:08	60,4	47,0	49,4	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	56	0	100	100	100	0	18801794	66610937	10947104	8	0	0	26190451	1,06	23:8	20190708	
08.07.2019 23:09	60,5	47,1	49,5	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	56	0	100	100	100	0	18801854	66610997	10947164	8	0	0	26190451	1,06	23:9	20190708	
08.07.2019 23:10	60,8	47,3	49,5	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	57	0	100	100	100	0	18801914	66611057	10947224	8	0	0	26190451	1,06	23:10	20190708	
08.07.2019 23:11	61,0	47,5	49,5	26,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	58	0	100	100	100	0	18801974	66611117	10947284	8	0	0	26190451	1,06	23:11	20190708	
08.07.2019 23:12	61,3	47,6	49,5	26,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	60	0	100	100	100	0	18802034	66611177	10947344	8	0	0	26190451	1,06	23:12	20190708	
08.07.2019 23:13	61,6	47,8	49,5	26,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	61	0	100	100	100	0	18802094	66611237	10947404	8	0	0	26190451	1,06	23:13	20190708	
08.07.2019 23:14	62,0	47,9	49,5	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	63	0	100	100	100	0	18802154	66611297	10947464	8	0	0	26190451	1,06	23:14	20190708	
08.07.2019 23:15	62,3	48,1	49,5	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	65	0	100	100	100	0	18802214	66611357	10947524	8	0	0	26190451	1,06	23:15	20190708	
08.07.2019 23:16	62,7	48,2	49,5	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	67	0	100	100	100	0	18802274	66611417	10947584	8	0	0	26190451	1,06	23:16	20190708	
08.07.2019 23:17	63,1	48,4	49,6	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	68	0	100	100	100	0	18802334	66611477	10947644	8	0	0	26190451	1,06	23:17	20190708	
08.07.2019 23:18	63,4	48,5	49,6	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	70	0	100	100	100	0	18802394	66611537	10947704	8	0	0	26190451	1,06	23:18	20190708	
08.07.2019 23:19	63,5	48,7	49,6	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	70	0	100	100	100	0	18802454	66611597	10947764	8	0	0	26190451	1,06	23:19	20190708	
08.07.2019 23:20	63,4	48,9	49,6	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	70	0	100	100	100	0	18802514	66611657	10947824	8	0	0	26190451	1,06	23:20	20190708	
08.07.2019 23:21	63,4	49,1	49,7	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	70	0	100	100	100	0	18802574	66611717	10947884	8	0	0	26190451	1,06	23:21	20190708	
08.07.2019 23:22	63,3	49,2	49,8	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	69	0	100	100	100	0	18802634	66611777	10947944	8	0	0	26190451	1,06	23:22	20190708	
08.07.2019 23:23	63,4	49,4	49,8	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	69	0	100	100	100	0	18802694	66611837	10948004	8	0	0	26190451	1,06	23:23	20190708	
08.07.2019 23:24	63,6	49,5	49,9	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	69	0	100	100	100	0	18802754	66611897	10948064	8	0	0	26190451	1,06	23:24	20190708	
08.07.2019 23:25	64,0	49,7	50,0	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	71	0	100	100	100	0	18802814	66611957	10948124	8	0	0	26190451	1,06	23:25	20190708	
08.07.2019 23:26	64,3	49,8	50,2	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	71	0	100	100	100	0	18802874	66612017	10948184	8	0	0	26190451	1,06	23:26	20190708	
08.07.2019 23:27	64,5	50,0	50,3	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	72	0	100	100	100	0	18802934	66612077	10948244	8	0	0	26190451	1,06	23:27	20190708	
08.07.2019 23:28	64,7	50,1	50,4	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	72	0	100	100	100	0	18802994	66612137	10948304	8	0	0	26190451	1,06	23:28	20190708	
08.07.2019 23:29	64,9	50,2	50,6	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	72	0	100	100	100	0	18803054	66612197	10948364	8	0	0	26190451	1,06	23:29	20190708	
08.07.2019 23:30	65,0	50,4	50,7	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	73	0	100	100	100	0	18803114	66612257	10948424	8	0	0	26190451	1,06	23:30	20190708	
08.07.2019 23:31	65,2	50,5	50,8	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	73	0	100	100	100	0	18803174	66612317	10948484	8	0	0	26190451	1,06	23:31	20190708	
08.07.2019 23:32	65,3	50,6	50,9	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	73	0	100	100	100	0	18803234	66612377	10948544	8	0	0	26190451	1,06	23:32	20190708	
08.07.2019 23:33	65,5	50,7	51,0	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	73	0	100	100	100	0	18803294	66612437	10948604	8	0	0	26190451	1,06	23:33	20190708	
08.07.2019 23:34	65,5	50,8	51,2	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	73	0	100	100	100	0	18803354	66612497	10948664	8	0	0	26190451	1,06	23:34	20190708	
08.07.2019 23:35	65,5	51,0	51,3	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	72	0	100	100	100	0	18803414	66612557	10948724	8	0	0	26190451	1,06	23:35	20190708	
08.07.2019 23:36	65,6	51,1	51,5	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	72	0	100	100	100	0	18803474	66612617	10948784	8	0	0	26190451	1,06	23:36	20190708	
08.07.2019 23:37	65,7	51,2	51,6	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	72	0	100	100	100	0	18803534	66612677	10948844	8	0	0	26190451	1,06	23:37	20190708	
08.07.2019 23:38	65,6	51,4	51,8	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	70	0	100	100	100	0	18803594	66612737	10948904	8	0	0	26190451	1,06	23:38	20190708	
08.07.2019 23:39	65,5	51,5	51,9	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	69	0	100	100	100	0	18803654	66612797	10948964	8	0	0	26190451	1,06	23:39	20190708	
08.07.2019 23:40	65,5	51,7	52,0	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	69	0	100	100	100	0	18803714	66612857	10949024	8	0	0	26190451	1,06	23:40	20190708	
08.07.2019 23:41	65,5	51,8	52,1	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	68	0	100	100	100	0	18803774	66612917	10949084	8	0	0	26190451	1,06	23:41	20190708	
08.07.2019 23:42	65,5	51,9	52,2	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	68	0	100	100	100	0	18803834	66612977	10949144	8	0	0	26190451	1,06	23:42	20190708	
08.07.2019 23:43	65,6	52,0	52,3	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	68	0	100	100	100	0	18803894	66613037	10949204	8	0	0	26190451	1,06	23:43	20190708	
08.07.2019 23:44	65,8	52,2	52,4	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	68	0	100	100	100	0	18803954	66613097	10949264	8	0	0	26190451	1,06	23:44	20190708	
08.07.2019 23:45	65,8	52,3	52,6	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	67	0	100	100	100	0	18804014	66613157	10949324	8	0	0	26190451	1,06	23:45	20190708	
08.07.2019 23:46	65,9	52,4	52,7	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	67	0	100	100	100	0	18804074	66613217	10949384	8	0	0	26190451	1,06	23:46	20190708	
08.07.2019 23:47	66,0	52,5	52,8	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	67	0	100	100	100	0	18804134	66613277	10949444	8	0	0	26190451	1,06	23:47	20190708	
08.07.2019 23:48	66,1	52,7	52,9	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	67	0	100	100	100	0	18804194	66613337	10949504	8	0	0	26190451	1,06	23:48	20190708	
08.07.2019 23:49	66,1	52,8	53,0	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	67	0	100	100	100	0	18804254	66613397	10949564	8	0	0	26190451	1,06	23:49	20190708	
08.07.2019 23:50	66,2	52,9	53,1	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	66	0	100	100	100	0	18804314	66613457	10949624	8	0	0	26190451	1,06	23:50	20190708	
08.07.2019 23:51	66,2	52,9	53,2	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	66	0	100	100	100	0	18804374	66613517	10949684	8	0	0	26190451	1,06	23:51	20190708	
08.07.2019 23:52	66,2	53,1	53,3	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	65	0	100	100	100	0	18804434	66613577	10949744	8	0	0	26190451	1,06	23:52	20190708	
08.07.2019 23:53	66,1	53,2	53,4	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	65	0	100	100	100	0	18804494	66613637	10949804	8	0	0	26190451	1,06	23:53	20190708	
08.07.2019 23:54	66,1	53,3	53,5	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	64	0	100	100	100	0	18804554	66613697	10949864	8	0	0	26190451	1,06	23:54	20190708	
08.07.2019 23:55	66,1	53,4	53,6	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	64	0	100	100	100	0	18804614	66613757	10949924	8	0	0	26190451	1,06	23:55	20190708	
08.07.2019 23:56	66,1	53,6	53,8	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	63	0	100	100	100	0	18804674	66613817	10949984	8	0	0	26190451	1,06	23:56	20190708	
08.07.2019 23:57	66,1	53,6	53,8	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	62	0	100	100	100	0	18804734	66613877	10950044	8	0	0	26190451	1,06	23:57	20190708	
08.07.2019 23:58	66,1	53,7	54,0	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	62	0	100	100	100	0	18804794	66613937	10950104	8	0	0	26190451	1,06	23:58	20190708	
08.07.2019 23:59	66,1	53,8	54,1	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	61	0	100	100	100	0	18804854	66613997	10950164	8	0	0	26190451	1,06	23:59	20190708	
