Datum & Uhrzeit	Temperatur Sensor 1 [ °C]	Temperatur Sensor 2 [ °C]	Temperatur Sensor 3 [ °C]	Temperatur Sensor 4 [ °C]	Temperatur Sensor 5 [ °C]	Temperatur Sensor 6 [ °C]	Druck Sensor 7 [ Bar]	Temperatur Sensor 8 [ °C]	Durchfluss Sensor 9 [ l/h]	Durchfluss V40 [ l/h]	Einheit	PWM 1 [ %]	PWM 2 [ %]	Drehzahl Relais 1 [ %]	Drehzahl Relais 2 [ %]	Drehzahl Relais 3 [ %]	Drehzahl Relais 4 [ %]	Betriebssekunden Relais 1 [ s]	Betriebssekunden Relais 2 [ s]	Betriebssekunden Relais 3 [ s]	Betriebssekunden Relais 4 [ s]	Fehlermaske	Statusmaske	Wärme [ Wh]	Version	Systemzeit	Systemdatum
08.07.2019 22:13	87,1	36,3	49,1	22,6	888,8	-88,8	-999,9	-88,8	-9999	0	11	100	0	100	100	100	0	18798866	66607691	10944217	8	0	0	26190451	1,06	22:13	20190708	
08.07.2019 22:14	84,3	36,3	49,1	22,7	888,8	-88,8	-999,9	-88,8	-9999	0	11	100	0	100	100	100	0	18798926	66607751	10944277	8	0	0	26190451	1,06	22:14	20190708	
08.07.2019 22:15	68,1	36,3	49,1	22,7	888,8	-88,8	-999,9	-88,8	-9999	0	11	100	0	100	0	100	0	18798986	66607758	10944337	8	0	0	26190451	1,06	22:15	20190708	
08.07.2019 22:16	56,8	36,5	49,1	22,7	888,8	-88,8	-999,9	-88,8	-9999	0	11	100	0	100	100	100	0	18799034	66607817	10944385	8	0	0	26190451	1,06	22:16	20190708	
08.07.2019 22:17	52,9	36,9	49,1	22,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	0	0	0	100	0	0	18799089	66607877	10944440	8	0	0	26190451	1,06	22:17	20190708	
08.07.2019 22:18	51,5	37,3	49,1	22,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	0	0	0	100	0	0	18799089	66607937	10944440	8	0	0	26190451	1,06	22:18	20190708	
08.07.2019 22:19	53,0	37,8	49,1	22,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	100	0	100	100	0	0	18799094	66607997	10944440	8	0	0	26190451	1,06	22:19	20190708	
08.07.2019 22:20	58,8	38,1	49,1	23,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799154	66608057	10944478	8	0	0	26190451	1,06	22:20	20190708	
08.07.2019 22:21	57,5	38,4	49,1	23,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799214	66608117	10944538	8	0	0	26190451	1,06	22:21	20190708	
08.07.2019 22:22	55,1	38,6	49,1	23,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799274	66608177	10944598	8	0	0	26190451	1,06	22:22	20190708	
08.07.2019 22:23	52,8	38,8	49,1	23,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	0	0	0	100	0	0	18799323	66608237	10944647	8	0	0	26190451	1,06	22:23	20190708	
08.07.2019 22:24	52,5	39,1	49,1	23,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	0	0	0	100	0	0	18799323	66608297	10944647	8	0	0	26190451	1,06	22:24	20190708	
08.07.2019 22:25	55,3	39,3	49,1	22,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799334	66608357	10944650	8	0	0	26190451	1,06	22:25	20190708	
08.07.2019 22:26	60,4	39,5	49,1	19,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	57	0	100	100	100	0	18799394	66608417	10944710	8	0	0	26190451	1,06	22:26	20190708	
08.07.2019 22:27	58,4	39,7	49,1	20,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799454	66608477	10944770	8	0	0	26190451	1,06	22:27	20190708	
08.07.2019 22:28	54,9	39,9	49,1	23,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799514	66608537	10944830	8	0	0	26190451	1,06	22:28	20190708	
08.07.2019 22:29	52,8	40,1	49,1	24,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	0	0	0	100	0	0	18799558	66608597	10944874	8	0	0	26190451	1,06	22:29	20190708	
08.07.2019 22:30	52,7	40,4	49,1	24,5	888,8	-88,8	-999,9	-88,8	-9999	0	11	0	0	0	100	0	0	18799558	66608657	10944874	8	0	0	26190451	1,06	22:30	20190708	
08.07.2019 22:31	55,8	40,6	49,0	27,3	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799574	66608717	10944884	8	0	0	26190451	1,06	22:31	20190708	
08.07.2019 22:32	61,1	40,8	49,0	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	61	0	100	100	100	0	18799634	66608777	10944944	8	0	0	26190451	1,06	22:32	20190708	
08.07.2019 22:33	58,9	40,9	49,0	25,6	888,8	-88,8	-999,9	-88,8	-9999	0	11	51	0	100	100	100	0	18799694	66608837	10945004	8	0	0	26190451	1,06	22:33	20190708	
08.07.2019 22:34	55,5	41,0	49,0	24,7	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799754	66608897	10945064	8	0	0	26190451	1,06	22:34	20190708	
08.07.2019 22:35	53,7	41,3	49,0	24,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799814	66608957	10945124	8	0	0	26190451	1,06	22:35	20190708	
08.07.2019 22:36	53,4	41,6	49,0	26,5	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799874	66609017	10945184	8	0	0	26190451	1,06	22:36	20190708	
08.07.2019 22:37	53,7	41,8	49,0	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799934	66609077	10945244	8	0	0	26190451	1,06	22:37	20190708	
08.07.2019 22:38	54,6	42,0	49,0	28,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18799994	66609137	10945304	8	0	0	26190451	1,06	22:38	20190708	
08.07.2019 22:39	55,4	42,2	49,0	31,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800054	66609197	10945364	8	0	0	26190451	1,06	22:39	20190708	
08.07.2019 22:40	55,5	42,4	49,0	29,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800114	66609257	10945424	8	0	0	26190451	1,06	22:40	20190708	
08.07.2019 22:41	55,4	42,5	49,0	27,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800174	66609317	10945484	8	0	0	26190451	1,06	22:41	20190708	
08.07.2019 22:42	55,4	42,7	49,0	27,4	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800234	66609377	10945544	8	0	0	26190451	1,06	22:42	20190708	
08.07.2019 22:43	55,4	42,9	49,0	27,4	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800294	66609437	10945604	8	0	0	26190451	1,06	22:43	20190708	
08.07.2019 22:44	55,6	43,1	49,0	27,2	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800354	66609497	10945664	8	0	0	26190451	1,06	22:44	20190708	
08.07.2019 22:45	55,8	43,3	49,0	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800414	66609557	10945724	8	0	0	26190451	1,06	22:45	20190708	
08.07.2019 22:46	55,8	43,5	48,9	27,1	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800474	66609617	10945784	8	0	0	26190451	1,06	22:46	20190708	
08.07.2019 22:47	55,8	43,7	48,9	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800534	66609677	10945844	8	0	0	26190451	1,06	22:47	20190708	
08.07.2019 22:48	55,9	43,8	48,9	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800594	66609737	10945904	8	0	0	26190451	1,06	22:48	20190708	
08.07.2019 22:49	56,0	44,0	48,9	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800654	66609797	10945964	8	0	0	26190451	1,06	22:49	20190708	
08.07.2019 22:50	56,3	44,2	48,9	27,0	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800714	66609857	10946024	8	0	0	26190451	1,06	22:50	20190708	
08.07.2019 22:51	56,6	44,3	49,0	26,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800774	66609917	10946084	8	0	0	26190451	1,06	22:51	20190708	
08.07.2019 22:52	56,7	44,5	49,0	26,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800834	66609977	10946144	8	0	0	26190451	1,06	22:52	20190708	
08.07.2019 22:53	56,9	44,7	49,0	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800894	66610037	10946204	8	0	0	26190451	1,06	22:53	20190708	
08.07.2019 22:54	57,2	44,8	49,0	26,9	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18800954	66610097	10946264	8	0	0	26190451	1,06	22:54	20190708	
08.07.2019 22:55	57,6	45,0	49,1	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18801014	66610157	10946324	8	0	0	26190451	1,06	22:55	20190708	
08.07.2019 22:56	58,0	45,1	49,1	26,8	888,8	-88,8	-999,9	-88,8	-9999	0	11	50	0	100	100	100	0	18801074	66610217	10946384	8	0	0	26190451	1,06	22:56	20190708	
